Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
275,4th year,3,Old,Romblon,Male,8/14/1996,Single,5,5th,Tablas Island,No,No,No,Yes,2,Happy / Excited,Hard,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,3,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Module Content and Presentation,Faculty & Student Online Discussion of Lesson
276,1st year,4,New,Romblon,Female,6/13/2001,Single,5,1st,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,Because I want to learned with guide of teacher in face to face class.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
277,4th year,3,Old,Romblon,Male,2/28/1997,Single,5,5th,"Tres Islas (Banton, Sibale, Simara)",No,No,,Yes,3,Sad / Disappointed, difficult to study online,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective",2,2,No,2,A HARCOPY of your module,2,Yes,3,Yes,2,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
278,3rd year,1,New,Romblon,Male,11/27/2000,Single,2,1st,Tablas Island,Yes,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,Because I feel more comfortable and learn more easily in a familiar and traditional situation or if it face-face.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,3,Yes,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,Module Content and Presentation
279,1st year,4,New,Romblon,Female,4/27/2000,Single,6,4th,Tablas Island,No,No,Yes,Yes,4,Worried / Nervous,I dont Learned a lot some of the Lesson given to us.,Entirely no Face-to-Face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity,3,4,Yes,4,A SOFTCOPY of your module,4,Yes,5,Yes,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
280,1st year,4,New,Romblon,Male,10/16/2001,Single,3,2nd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,I can't learn without proper guidance,Module is the primary tool in learning,2,3,Yes,2,A SOFTCOPY of your module,3,No,3,Yes,2,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
282,4th year,1,Old,Romblon,Male,8/22/1998,Single,4,2nd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because you won't learn what you want to learn in online class rather than face to face but it's better to be onlineclass because of this pandemic.,Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,4,A SOFTCOPY of your module,3,No,4,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
283,2nd Year,2,New,Romblon,Female,4/25/2021,Single,4,3rd,Tablas Island,Yes,No,No,Yes,4,Sad / Disappointed,Because i think face to face is much better ,Internet connection is a necessity,3,3,Yes,4,A HARCOPY of your module,4,Yes,5,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
284,2nd Year,4,New,Romblon,Male,1/7/2001,Single,3,2nd,Sibuyan Island,No,No,No,Yes,2,Worried / Nervous,Because I'm not that comfortable for it,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity,4,4,Yes,4,A HARCOPY of your module,3,Yes,3,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
285,3rd year,1,New,Romblon,Male,2/24/2000,Single,2,4th,"Romblon, Romblon",No,No,No,Yes,2,Did not feel anything,Because I try myself to follow the blended learning instructions and always motivate ,Module is the primary tool in learning,4,4,Yes,4,A SOFTCOPY of your module,1,Yes,5,Yes,5,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
286,4th year,3,Old,Romblon,Female,4/5/1995,Single,2,2nd,"National Capital Region (Manila, Quezon City, etc.)",No,Yes,,Yes,5,Sad / Disappointed;Worried / Nervous,Because there’s no interaction between the students and teachers. ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective",3,3,Yes,2,A HARCOPY of your module,2,No,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
288,2nd Year,3,Old,Romblon,Male,1/27/2001,Single,5,4th,Tablas Island,No,No,No,Yes,4,Worried / Nervous,Sad,Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Student and teacher interactions would be very limited,3,3,No,2,A SOFTCOPY of your module,4,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
289,3rd year,1,New,Romblon,Male,3/25/2000,Single,2,1st,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed;Worried / Nervous,No interaction (f2f) with classmates and teachers,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
290,2nd Year,1,New,Romblon,Male,5/19/2000,Single,2,1st,Tablas Island,No,Yes,,Yes,3,Did not feel anything,Because i think itt will be hard on us to adopt new system in learning,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,5,A SOFTCOPY of your module,3,Yes,4,Yes,1,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
291,1st year,4,New,Romblon,Female,8/8/2002,Single,4,2nd,Tablas Island,No,Yes,,Yes,3,Worried / Nervous,"I feel worried because, I don't know if I can learn by modular and nervous if i get a passed grade.",A hardcopy of the module would be distributed to all students,3,4,Yes,4,A SOFTCOPY of your module,3,Yes,5,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
292,2nd Year,1,Old,Romblon,Male,5/11/2001,Single,4,1st,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Bored because I didn't meet my friends,"Exercises, quizzes, and major examinations will be done online or face-to-face",4,4,Yes,5,A HARCOPY of your module,2,Yes,5,No,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
293,4th year,2,Old,Romblon,Male,8/6/1995,Single,7,4th,Tablas Island,No,No,No,Yes,2,Worried / Nervous,because our last semester during 3rd year was not finished on face to face and I didn't learn a lot,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,No,4,A SOFTCOPY of your module,5,No,3,No,3,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
294,1st year,4,New,Romblon,Male,5/27/2002,Single,1,2nd,Sibuyan Island,No,Yes,,Yes,2,Sad / Disappointed;Worried / Nervous,In our course (BSIT) we need face to face because we need to focus on hands on and especially in programming.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,4,No,3,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
295,1st year,4,New,Romblon,Female,10/30/1999,Single,8,3rd,Tablas Island,No,Yes,,Yes,2,Did not feel anything,Nothing,Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,4,4,Yes,4,A SOFTCOPY of your module,4,Yes,5,Yes,2,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
296,3rd year,1,New,Romblon,Male,11/22/1999,Single,3,1st,Tablas Island,No,Yes,,Yes,4,Happy / Excited,I felt happy because it follows  health protocol that is required in this time of pandemic,Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited,4,4,Yes,4,A SOFTCOPY of your module,2,Yes,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
297,3rd year,2,Old,Romblon,Female,4/18/2021,Single,5,4th,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous,i worried about signal every time we have a online classe class,Student and teacher interactions would be very limited,3,4,Yes,3,A SOFTCOPY of your module,4,Yes,4,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
299,1st year,4,Old,Romblon,Male,4/30/2001,Single,4,5th,Tablas Island,No,No,,Yes,3,Sad / Disappointed,Because I may not learn a lot from the new system of education,Entirely no Face-to-Face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited,2,3,Yes,3,A HARCOPY of your module,4,Yes,4,Yes,1,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson
